   1      90      94     194     308
   2     127     131     180     210
   3     132     136     275     237
   4     134     138     261     259
   5     131     135     284     324
   6     138     142     273     340
   7     157     161     253     297
   8     159     163     255     253
   9     167     171     240     181
  10     162     166     208     136
  11     170     174     350     211
  12     163     167     303     220
  13     149     153     367     334
  14     153     157     322     330
  15     149     153     290     309
  16     148     152     269     256
  17     152     156     252     191
  18     144     148     230     180
  19     150     154     419     322
  20     151     155     364     353
  21     145     149     374     372
  22     146     150     362     374
  23     145     149     346     387
  24     152     156     353     351
  25     147     151     357     403
  26     150     154     351     402
  27     148     152     340     375
  28     156     160     339     322
  29     150     154     358     262
  30     151     155     312     268
  31     149     153     442     294
  32     151     155     401     304
  33     150     154     365     289
  34     152     156     350     255
  35     150     154     331     231
  36     141     145     267     206
  37     143     147     447     302
  38     144     148     416     405
  39     144     148     455     403
  40     153     157     436     408
  41     155     159     401     356
  42     150     154     457     357
  43     147     151     459     381
  44     143     147     442     350
  45     143     147     434     329
  46     145     149     334     215
  47     145     149     415     249
  48     147     151     377     289
  49     148     152     523     324
  50     141     145     476     332
  51     139     143     437     312
  52     141     145     399     295
  53     146     150     421     287
  54     146     150     363     387
  55     141     145     520     519
  56     144     148     442     589
  57     151     155     545     560
  58     150     154     526     589
  59     145     149     510     507
  60     140     144     497     517
  61     152     156     501     506
  62     152     156     538     506
  63     143     147     544     492
  64     149     153     577     506
  65     146     150     556     483
  66     141     145     552     488
  67     151     155     567     434
  68     142     146     540     375
  69     147     151     535     389
  70     152     156     464     364
  71     145     149     563     364
  72     146     150     541     364
  73     148     152     492     355
  74     147     151     436     332
  75     144     148     438     328
  76     138     142     439     310
  77     135     139     418     205
  78     133     137     464     224
  79     131     135     446     201
  80     136     140     380     220
  81     141     145     571     247
  82     137     141     559     256
  83     142     146     503     242
  84     139     143     478     237
  85     145     149     457     235
  86     137     141     381     231
  87     137     141     572     339
  88     136     140     575     491
  89     134     138     628     506
  90     136     140     623     493
  91     134     138     637     496
  92     140     144     678     485
  93     135     139     662     485
  94     137     141     599     461
  95     134     138     601     446
  96     134     138     697     459
  97     133     137     657     468
  98     135     139     567     419
  99     135     139     553     375
 100     133     137     581     334
